location,lat,lon,locacion_mas_cercana,frecuencia,Climate
Albury,-36.0737734,146.9135265,WaggaWagga,3418,Temperate
BadgerysCreek,-33.8831452,150.742466,Penrith,3337,Temperate
Cobar,-31.9666628,145.3045054,WaggaWagga,3193,Arid
CoffsHarbour,-30.2985996,153.1094116,GoldCoast,3192,Temperate
Moree,-29.4617202,149.8407153,CoffsHarbour,3188,Temperate
Newcastle,-32.9192953,151.7795348,Williamtown,3161,Temperate
NorahHead,-33.2816667,151.5677778,Newcastle,3090,Temperate
NorfolkIsland,-29.0328038,167.9483137,GoldCoast,3034,Temperate
Penrith,-33.7511954,150.6941711,BadgerysCreek,3033,Temperate
Richmond,-37.80745,144.9907213,Melbourne,3031,Temperate
Sydney,-33.8698439,151.2082848,SydneyAirport,3030,Temperate
SydneyAirport,-33.9498935,151.1819682,Sydney,3028,Temperate
WaggaWagga,-35.115,147.3677778,Albury,3028,Temperate
Williamtown,-32.815,151.8427778,Newcastle,3016,Temperate
Wollongong,-34.4243941,150.89385,SydneyAirport,3011,Temperate
Canberra,-35.2975906,149.1012676,Tuggeranong,3009,Temperate
Tuggeranong,-35.4209771,149.0921341,Canberra,3009,Temperate
MountGinini,-35.5297437,148.7725396,Tuggeranong,3007,Temperate
Ballarat,-37.5623013,143.8605645,Bendigo,3005,Temperate
Bendigo,-36.7590183,144.2826718,Ballarat,3002,Temperate
Sale,-38.1094463,147.0656717,Watsonia,3000,Temperate
MelbourneAirport,-37.6667554,144.8288501,Melbourne,2999,Temperate
Melbourne,-37.8142454,144.9631732,Richmond,2998,Temperate
Mildura,-34.195274,142.1503146,Nhil,2996,Arid
Nhil,-35.4325403,141.2833862,Mildura,2990,Temperate
Portland,-38.3456231,141.6042304,Dartmoor,2988,Temperate
Watsonia,-37.7109468,145.0837808,Richmond,2988,Temperate
Dartmoor,-37.895212,141.2679429,MountGambier,2983,Temperate
Brisbane,-27.4689623,153.0235009,GoldCoast,2980,Temperate
Cairns,-16.9206657,145.7721854,Townsville,2976,Tropical
GoldCoast,-28.0023731,153.4145987,Brisbane,2964,Temperate
Townsville,-19.2569391,146.8239537,Cairns,2964,Tropical
Adelaide,-34.9281805,138.5999312,Nuriootpa,2955,Temperate
MountGambier,-37.8301386,140.7842627,Dartmoor,2955,Temperate
Nuriootpa,-34.4693354,138.9939006,Adelaide,2953,Temperate
Woomera,-31.1999142,136.8253532,Nuriootpa,2952,Arid
Albany,-35.0247822,117.883608,Walpole,2951,Temperate
Witchcliffe,-34.0263348,115.1004768,Walpole,2943,Temperate
PearceRAAF,-31.6739604,116.0175435,PerthAirport,2929,Temperate
PerthAirport,-31.9415213,115.9655769,Perth,2928,Temperate
Perth,-31.9558967,115.8605784,PerthAirport,2907,Temperate
SalmonGums,-32.9815167,121.6440785,Albany,2854,Arid
Walpole,-34.9776796,116.7310063,Albany,2819,Temperate
Hobart,-42.8825088,147.3281233,Launceston,2762,Temperate
Launceston,-41.4340813,147.1373496,Hobart,2553,Temperate
AliceSprings,-23.6983884,133.8812885,Uluru,2435,Arid
Darwin,-12.46044,130.8410469,Katherine,1569,Tropical
Katherine,-14.4646157,132.2635993,Darwin,1559,Tropical
Uluru,-25.3455545,131.0369615,AliceSprings,1521,Arid
